step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,89.58333333,516,87.5,504,89.93055556,518,91.66666667,528
21625,1083066.348,995764.754,1087126.094,1003485.63,1027524.746,,,,FALSE,,TRUE,,FALSE,,FALSE
21650,3154082.252,3317571.915,3253140.044,3030585.963,2709428.785,,,,TRUE,,TRUE,,FALSE,,FALSE
21675,4458740.181,5192729.14,5319889.243,4913098.918,5417290.126,,,,TRUE,,TRUE,,TRUE,,TRUE
21700,5852385.955,6078656.273,6270911.365,6302876.592,6089380.378,,,,TRUE,,TRUE,,TRUE,,TRUE
21725,7768812.849,7773307.088,7708588.896,7901631.455,7456869.839,,,,TRUE,,FALSE,,TRUE,,FALSE
21750,9096976.264,9208266.46,9113805.4,8755743.857,8559879.019,,,,TRUE,,TRUE,,FALSE,,FALSE
21775,10842573.9,10931312.37,11272413.57,10673753.27,11343255.54,,,,TRUE,,TRUE,,FALSE,,TRUE
21800,12197928.47,11663994.35,11998660.26,11814965.79,11540632.34,,,,FALSE,,FALSE,,FALSE,,FALSE
21825,12872678.85,12000680.74,12770353.83,12482793.63,12706214.88,,,,FALSE,,FALSE,,FALSE,,FALSE
21850,12866460.82,12666089.78,13480903.46,12810479.06,12977835.48,,,,FALSE,,TRUE,,FALSE,,TRUE
21875,14602644.79,15499395.95,14654809.69,14209919.82,15590051.52,,,,TRUE,,TRUE,,FALSE,,TRUE
21900,16701722.71,15952100.34,15402753.34,15843749.35,15325238.14,,,,FALSE,,FALSE,,FALSE,,FALSE
21925,16974954.08,16522439.98,16102239.52,16851627.62,16523463.41,,,,FALSE,,FALSE,,FALSE,,FALSE
21950,17954147.37,17768374.99,17334536.75,17191581.31,17916782.14,,,,FALSE,,FALSE,,FALSE,,FALSE
21975,19249129.66,17754837.69,18850969.06,19047127.21,19085882.33,,,,FALSE,,FALSE,,FALSE,,FALSE
22000,20291212.38,20289135.58,20635195.5,20869275.98,20328534.6,,,,FALSE,,TRUE,,TRUE,,TRUE
22025,21228833.57,20917481.38,21623796.08,21117776.92,21033140,,,,FALSE,,TRUE,,FALSE,,FALSE
22050,24271989.23,23585741.25,23592786.54,23283978.53,23610234.79,,,,FALSE,,FALSE,,FALSE,,FALSE
22075,23249246.08,24638739.27,23688761.25,23512323.34,23606204.96,,,,TRUE,,TRUE,,TRUE,,TRUE
22100,23980588.68,25656439.9,23928568.3,24633184.6,24606392.73,,,,TRUE,,FALSE,,TRUE,,TRUE
22125,28142026.22,27096752.94,26451885.79,26283824.28,26965876.89,,,,FALSE,,FALSE,,FALSE,,FALSE
22150,28566621.6,27978240.46,28241339.86,26731788.82,27503116.71,,,,FALSE,,FALSE,,FALSE,,FALSE
22175,30136083.4,29268462.11,29660904.69,30139605.96,29047137.95,,,,FALSE,,FALSE,,TRUE,,FALSE
22200,30091811.13,29616853.58,30169756.09,29567062.27,29863362.18,,,,FALSE,,TRUE,,FALSE,,FALSE
22225,32398261.49,30699148.68,30705821.27,31191852.3,31486233.5,,,,FALSE,,FALSE,,FALSE,,FALSE
22250,33551706.93,32112654.11,32309850.21,32973524.33,32203932.74,,,,FALSE,,FALSE,,FALSE,,FALSE
