step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,,98.09027778,565,97.22222222,560,99.30555556,572,99.30555556,572,65.79861111,379,46.70138889,269
21625,11.75226979,11.24776587,11.06445455,11.70357349,11.0425258,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
21650,11.01089452,10.74582458,10.66106022,10.38765662,10.20684073,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
21675,10.46106641,11.10789271,10.45044006,9.943764279,10.34892705,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21700,9.023674905,9.891922449,8.766246404,8.618821984,8.552674938,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
21725,8.102584803,8.598814367,8.333346406,7.833418953,7.617555106,,,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE
21750,7.555550117,7.917509361,7.963155151,7.387881508,7.526723813,,,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
21775,7.39401869,7.383363189,7.713597433,7.147247152,7.332815478,,,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
21800,7.190387429,6.949044412,7.136904086,7.220408701,6.91328585,,,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,FALSE
21825,7.081470489,6.673666308,6.456473044,6.563796652,6.712700093,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21850,6.835162088,6.566379331,6.09592401,6.413863439,6.428798032,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21875,7.389899842,6.80411983,6.730767041,6.69709436,7.163910446,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21900,7.183201908,6.828444914,6.473542568,6.77764874,6.785113795,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21925,7.361578868,6.478801155,6.271577426,6.312174165,6.554554432,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21950,7.244497796,6.7727152,6.449334937,6.476608073,6.751230273,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21975,7.179134731,6.711257479,6.696111835,6.459453574,6.712074868,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22000,7.303912633,7.019589355,6.710241676,6.677002019,6.898657797,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22025,7.33278194,6.843948445,6.844409002,6.485457639,6.783213294,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22050,7.616402186,7.234524909,7.070708025,7.01584574,6.93662541,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22075,7.238594794,7.145079193,6.991770962,6.944806491,7.03763366,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22100,7.230687718,7.09721243,6.534435753,6.934334455,6.890190613,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22125,7.508744109,7.158031901,6.790561371,7.039764029,6.830985583,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22150,7.649903977,7.171240876,6.84472894,7.054054955,6.891439631,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22175,7.429206355,7.266208691,6.984640245,7.186640004,6.959941737,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22200,7.361225828,7.090667614,7.173081113,7.140407764,6.962131041,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22225,7.62762566,7.168770991,7.159689095,6.959406025,6.879681419,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22250,7.694174034,6.86319167,6.962551962,6.897354592,6.906386858,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22275,7.292300172,6.962276908,6.953135152,6.963180708,6.839958669,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22300,7.297870189,6.998460626,6.962100292,7.164857329,6.937452618,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22325,7.449608287,7.013062325,6.906910758,7.113473935,6.768079837,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22350,7.384255725,6.766551131,7.013654213,6.939425624,6.939835652,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22375,7.297550065,6.653169398,6.953100808,7.063397533,6.921734183,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22400,7.152473532,6.707895767,7.038698935,6.860565705,6.78630274,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22425,7.046064236,6.821654517,6.995524308,6.99282628,6.735380266,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22450,7.071529569,6.836023998,6.81267232,6.707589707,6.818146971,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22475,7.026446377,6.99365579,7.016913088,6.832181016,6.600894098,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22500,6.970684296,6.946730249,6.913441834,6.913435299,6.918616943,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22525,7.109109407,6.643407821,6.807549606,6.821150928,6.835872517,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22550,6.839972422,6.706512511,6.759904402,6.662133239,6.678242084,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22575,6.7773658,6.665319721,6.895727303,6.796199247,6.659964673,,,,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE
22600,7.073925577,6.697832431,6.594373992,6.795492255,6.658475889,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22625,7.125654641,6.559940069,6.857939769,6.668773349,6.742377771,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22650,6.945851834,6.946985066,6.895766535,6.824911704,6.717302985,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22675,6.910466525,6.609412085,6.722316959,6.562097929,6.645681053,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22700,6.700920234,6.448268643,6.716742501,6.423282546,6.54895989,,,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
22725,6.876905536,6.58162713,6.547331173,6.60067401,6.679990728,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22750,6.83509608,6.618706672,6.714164617,6.771562975,6.661436313,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22775,7.177272641,6.575223339,6.618268957,6.848787826,6.630435864,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22800,7.24065096,6.658859843,6.672670955,6.902891779,6.756645569,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22825,7.068624285,6.780143264,6.473291282,6.709734744,6.557036364,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22850,7.016764193,6.479026373,6.434683999,6.734278685,6.576691246,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22875,6.989360419,6.876288193,6.571736981,6.737069941,6.586541344,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22900,7.098745293,6.72892606,6.635528576,6.732817152,6.74065704,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22925,7.185475595,6.813507418,6.628746382,6.619549555,6.693155451,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22950,6.852935684,6.978598361,6.580890303,6.48026607,6.539080405,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22975,6.953214117,6.687018765,6.5885965,6.294346529,6.536976241,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23000,6.938778969,6.532030696,6.48059392,6.313174947,6.326099576,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23025,6.690339875,6.484183253,6.244243308,6.232693288,6.452404792,,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23050,6.591870374,6.687394471,6.275582051,6.254756935,6.444472161,,,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
