step,FTSC,SDQN Compressed Obs,SDQN Uncompressed Obs,CDQN Compressed Obs,CDQN Uncompressed Obs,,99.30555556,572,99.13194444,571,99.82638889,575,99.82638889,575,5.729166667,33,40.45138889,233
21625,65,155,145,60,140,,,TRUE,,TRUE,,FALSE,,TRUE,94.27083333,FALSE,,TRUE
21650,305,495,285,340,340,,,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE
21675,615,325,545,650,635,,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE
21700,1080,540,905,1160,1245,,,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE
21725,1490,1175,990,2025,1595,,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE
21750,2070,1720,1480,2270,1910,,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE
21775,2250,2625,2490,2945,2555,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
21800,2765,3015,3085,3275,2970,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
21825,2785,3590,4535,3840,3800,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
21850,2795,5090,6110,4705,5360,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
21875,2905,5330,6125,5790,5835,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
21900,3545,6490,6850,7020,6225,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
21925,3960,7535,7760,8225,7630,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
21950,3980,8850,8390,8360,8435,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
21975,4430,9920,10005,10335,9965,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22000,5330,10440,10900,11340,11175,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22025,5655,12640,12905,12600,11770,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
22050,6405,13555,12630,12950,13470,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22075,6665,14680,13915,13945,13155,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
22100,6495,16295,17305,14240,16380,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22125,6515,17070,18375,16210,17580,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22150,7295,18365,19355,17060,19900,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22175,8780,18270,20480,18110,22150,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22200,10140,20445,20240,20000,23070,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22225,10240,21910,21710,21125,25805,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22250,10160,22730,22715,21750,27365,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22275,11360,25570,24455,21095,28075,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22300,11550,27380,25145,22035,30420,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22325,12805,26335,28120,22715,30155,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22350,12605,28545,29675,24940,31195,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE
22375,12415,28665,25640,25380,30930,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22400,13890,26985,22055,26715,33345,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22425,15485,25900,21690,26950,35485,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22450,14740,26625,22795,28360,35160,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22475,15080,27815,24685,29095,37065,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22500,15235,28545,24590,32015,37830,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22525,15510,31780,26930,34110,35700,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22550,16550,33770,28555,36200,39355,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22575,16405,31505,29520,36400,41735,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22600,16330,33850,32845,37245,43755,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22625,16390,34935,30560,37490,41485,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22650,17845,35210,30330,35440,43605,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22675,18975,35260,28075,34835,41655,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22700,19425,37500,28175,38785,45185,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22725,19675,33635,28090,40080,40460,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22750,19720,35030,26980,41985,42565,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22775,18935,38315,29610,40920,42850,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22800,17515,39710,30860,40750,45170,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22825,18500,35505,33920,41605,46645,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22850,19330,38560,31160,42065,47940,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22875,19505,37475,32365,43545,46770,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22900,19920,38875,35630,42080,46045,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22925,21155,39850,38970,44290,44865,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22950,21655,40715,38750,46985,48200,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
22975,21185,43120,38985,48940,48650,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23000,19790,45050,39255,53280,50665,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23025,21045,45565,41400,57255,50135,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23050,21180,40955,38000,55270,48735,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23075,21770,41695,39170,58155,51115,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23100,22210,45165,40110,60275,51760,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23125,23795,42320,39895,60345,50275,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23150,23980,43200,38885,57025,51965,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE
23175,24750,46140,39630,52605,54130,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23200,25465,49965,43055,52275,52905,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23225,25250,49090,44560,46010,54330,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23250,24855,50515,43220,46230,53165,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
23275,25330,55210,45335,47715,51685,,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE
